Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotAtt/90,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonCmp/90,PasLonAtt,PasLonAtt/90,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,Tkl/90,TklWon,TklWon%,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkSh/90,BlkPass,Int,Int/90,Tkl+Int,Clr,Clr/90,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon/90,AerLost,AerDuels/90,AerWon%
860,Kilian Fischer,GER,DFFW,Wolfsburg,Bundesliga,22,2000,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,31.5,43.1,33.15384615,73.2,549.2,353.8,14.6,16.9,86.4,14.6,20,73.1,2.31,1.776923077,5.38,4.138461538,42.9,0,0,3.08,0,0,4.62,43.1,33.1,10,0,0,0,1.54,10,0,0,0,0,31.5,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.5923076923,0,0.00,0,0.77,0,0,0.77,0,0.77,1.54,0,0,1.54,1.54,1.184615385,2.31,1.54,1.184615385,0,50,1.54,18.5,20.8,10.8,0,50,0.77,0.77,100,0,0,20,80,30.8,0.77,0,0,0,0,24.6,0.77,0.77,0,0,1.54,1.54,0,1.54,0,0,0,0,3.08,0.77,1.54,2.31,33.3
861,Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,20,20,1800,20,0,0,0,0,0,0,0,0,0,0,30.1,41.3,2.065,73,987.1,735.9,2.9,2.95,98.3,14.2,14.4,98.6,12.9,0.645,23.6,1.18,54.9,0,0.1,1.75,0.15,0,0,41.3,32,9,2.55,0,0.5,0,0,0,0,0,0,30.1,0.2,0.05,0.25,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.2,0.01,0.15,43.5,34.8,43,0.7,0,0,43.5,0.1,0.1,100,0,0,26.5,159.4,96.3,0,0,0,0,0,20.9,0,0,0,0,0,0.05,0,0,0,0,0,0,1.9,0.2,0,0.2,100
862,Florian Flick,GER,MF,Schalke 04,Bundesliga,22,2000,8,5,512,5.7,0,0.35,0.18,50,0,0,24.9,0,0,0,22.6,32.5,5.701754386,6.97E+01,380.7,115.1,11.2,14.4,78,8.77,11.1,79.4,1.93,0.3385964912,4.39,0.7701754386,44,0,0.18,2.28,0,0,2.11,32.5,31.6,0.53,0.53,0,0.18,0.18,0,0,0,0,0,22.6,0.35,0.53,1.23,1.05,0,0,0.18,0,0.00E+00,0,0,0,0,0,0,0,2.11,0.3701754386,0.53,25.12,1.23,0.88,0,0.7,2.46,28.6,1.75,1.58,5.30E-01,9.30E-02,1.05,0.7,0.1228070175,2.81,3.16,0.5543859649,0,42.8,4.91,15.1,23.7,4.56,0.18,42.8,0.35,0.18,50,0.18,5.00E+01,16.5,78.1,32.6,0.35,0.7,0,0.53,0.35,17.4,0.35,0.18,0,0,1.05,0.7,0,0.18,0.53,0,0,0,5.61,2.46,1.23,3.69,66.7
863,Alexis Flips,FRA,DFMF,Reims,Ligue 1,23,2000,17,14,1011,11.2,2,2.59,0.89,34.5,0.07,0.2,23.4,0.27,0,0,31,47,4.196428571,66,556.3,236.5,14.5,17.4,83.1,11.7,16.6,70.4,4.02,0.3589285714,9.2,0.8214285714,43.7,0.27,2.32,2.86,1.96,0.98,4.02,47,37.6,9.11,2.23,0.27,0.18,6.43,4.2,2.5,0.71,1.34,0,31,0.27,1.61,4.2,2.77,0.71,0.09,0.45,0,0.18,0.36,0.36,0,0,0,0,0,2.41,0.2151785714,1.43,59.34,0.8,0.98,0.63,1.16,2.77,41.9,1.61,1.61,0.36,0.03214285714,1.25,1.61,0.14375,4.02,0.89,0.07946428571,0,60.1,2.32,13.8,24.8,22.2,2.05,60.1,1.79,0.54,30,1.07,60,37.7,188.9,84,0.98,1.7,0.18,2.14,0.98,32.1,6.25,0.09,0.09,0,0.98,0.89,0.18,6.43,1.43,0,0,0,7.41,0.54,1.34,1.88,28.6
864,Alessandro Florenzi,ITA,DF,Milan,Serie A,31,1991,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,56.4,71.8,65.27272727,78.5,1013.6,294.5,23.6,25.5,92.9,29.1,32.7,88.9,3.64,3.309090909,12.7,11.54545455,28.6,0,0.91,3.64,0.91,0,6.36,71.8,52.7,18.2,2.73,0,0,4.55,12.7,2.73,0,2.73,0,56.4,0.91,0,1.82,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,2.73,2.481818182,1.82,66.67,1.82,0,0.91,1.82,2.73,66.7,0.91,0,0,0,0,0.91,0.8272727273,3.64,0.91,0.8272727273,0,77.3,1.82,19.1,37.3,20.9,0.91,77.3,0,0,0,0,0,46.4,160.9,53.6,0,0.91,0,0.91,0,42.7,4.55,0,0,0,0.91,0,0,4.55,1.82,0,0,0,3.64,0,0,0,0
865,Phil Foden,ENG,FWDF,Manchester City,Premier League,22,2000,18,13,1045,11.6,7,2.41,1.21,50,0.25,0.5,14.2,0,0,0,44.1,54.9,4.732758621,80.2,666.5,117.2,26.2,28.8,91,13.2,15.9,83.2,2.76,0.2379310345,5.69,0.4905172414,48.5,0.34,1.9,2.07,1.9,0.69,4.05,54.9,51.7,2.84,0.26,0.17,0.34,5.09,0.6,1.98,0.26,1.55,0,44.1,0.34,1.55,4.74,3.88,0.52,0,0.26,0.09,0,0.78,0.78,0,0,0,0,0,1.03,0.08879310345,0.6,58.25,0.6,0.34,0.09,0.6,0.78,77.8,0.17,1.03,0.09,0.00775862069,0.95,0.26,0.0224137931,1.29,0.43,0.03706896552,0,65.3,0.69,4.91,22.3,38.8,6.47,65.3,2.5,0.95,37.9,1.29,51.7,42.8,186.9,79.6,1.98,1.72,0.52,1.98,1.9,52.4,14.1,0.09,0,0,0.34,1.38,0.26,5.09,0.6,0,0,0,5.17,1.21,1.47,2.68,45.2
866,Datro Fofana,CIV,FWMF,Chelsea,Premier League,20,2002,1,0,16,0.2,0,5,0,0,0,0,11.1,0,0,0,5,10,50,50,45,25,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,5,25,0,0.00,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,45,0,0,15,30,15,45,15,10,66.7,5,33.3,10,35,25,0,0,0,10,0,20,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
867,Seko Fofana,CIV,MF,Lens,Ligue 1,27,1995,20,19,1742,19.4,3,2.16,0.62,28.6,0.05,0.17,20,0,0.05,0.1,46.8,53.1,2.737113402,88.1,774.6,157.7,23.3,25.4,91.7,17.8,19.6,90.8,3.92,0.2020618557,5,0.2577319588,78.4,0.15,1.03,4.79,0.88,0.21,5.31,53.1,52.8,0.36,0.36,0.21,0.46,1.55,0,0,0,0,0,46.8,0,0.98,2.78,2.42,0,0.1,0,0.15,0.1,0.31,0.21,0,0.05,0,0.05,0,0.77,0.03969072165,0.36,46.75,0.21,0.52,0.05,0.36,1.03,35,0.67,0.52,0.15,0.007731958763,0.36,0.67,0.03453608247,1.44,0.31,0.01597938144,0,62.5,0.93,6.65,35.9,20.5,2.84,62.4,2.73,1.49,54.7,1.03,37.7,54.6,336.9,134,3.61,2.78,0.93,1.86,1.49,51.3,7.37,0.05,0,0,0.67,1.03,0.05,1.55,0.36,0.05,0,0,5.52,0.62,0.52,1.14,54.5
868,Wesley Fofana,FRA,DF,Leicester City,Premier League,22,2000,2,2,180,2,0,1,0.5,50,0,0,10.1,0,0,0,58.5,70,35,83.6,997.5,279.5,22,22,100,32,37,86.5,3,1.5,6.5,3.25,46.2,0,0,8,0,0,3,70,69,0.5,0.5,0,0,0,0,0,0,0,0,58.5,0.5,1.5,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,2,1,1,50.00,0.5,1,0.5,0.5,1.5,33.3,1,0.5,0.5,0.25,0,4.5,2.25,6.5,2.5,1.25,0,84.5,5.5,34,48.5,3.5,1.5,84.5,1.5,1,66.7,0,0,58,323.5,182.5,1.5,2.5,1,1.5,0,57.5,0.5,0.5,0,0,1,1.5,0.5,0,1,0,0,0,5,2.5,3,5.5,45.5
869,Wesley Fofana,FRA,DF,Chelsea,Premier League,22,2000,2,2,180,2,0,0.5,0,0,0,0,31.8,0,0,0,86,95,47.5,90.5,1342.5,329,40.5,42.5,95.3,43.5,46.5,93.5,1,0.5,5,2.5,20,0,0,2.5,0,0,3.5,95,94,1,1,0,0,0,0,0,0,0,0,86,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.75,0.5,33.33,0,1,0.5,0.5,1,50,0.5,1,0,0,1,2.5,1.25,4,1.5,0.75,0,104.5,1.5,25,69,10.5,0.5,104.5,1,0,0,0,0,80.5,443.5,246.5,3.5,2,0,0.5,0,86,2.5,0,0,0,0,1.5,0,0,0.5,0,0,0,6,2,1.5,3.5,57.1
